Image Caption,Image URL
Ăn chay có thể chống lại ung thư?,https://icdn.dantri.com.vn/zoom/1020_680/filters:quality(0)/2020/12/02/20200425111231067571-nhungluuytruockmax-1800-x-1800-1606898194178.jpg
Phẫu thuật cắt gan- lựa chọn điều trị triệt để ung thư gan,https://icdn.dantri.com.vn/zoom/468_310/filters:quality(0)/2020/12/02/catgan-1606896856728.jpg
Cậu bé quỳ gối bên người mẹ bị ung thư khiến triệu người rơi lệ,https://icdn.dantri.com.vn/zoom/468_310/filters:quality(0)/2020/12/02/cau-be-quy-goi-ben-nguoi-me-bi-ung-thu-khien-trieu-nguoi-roi-le-1-1606898401453.jpg
"Có các dấu hiệu này, ung thư thực quản đã ở giai đoạn muộn",https://icdn.dantri.com.vn/zoom/468_310/filters:quality(0)/2020/12/01/1445712349-glarynxcancer-545862573702-x-336-1606817957216.jpg
Ung thư vú: Phát hiện sớm bệnh có thể điều trị khỏi,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/12/01/ung-thu-vudocx-1606834374046.jpeg
Hiểu biết mới về ung thư phổi tạo đột phá trong điều trị,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/ung-thu-phoi-2-1605528109015.jpg
Sự sống mong manh của thai phụ trẻ mắc ung thư ngày lên bàn mổ sinh con,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/12/01/ungthusinhcon-3-1606830964635.jpg
"Ho dài ngày, khó nuốt: Cảnh giác với bệnh ung thư nguy hiểm",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/30/20190914075612527988-dauhieuungthuvommax-800-x-800-vomg-1606750395645.jpg
"Tiến bộ trong xạ trị: Tỷ lệ kiểm soát bệnh, thời gian sống của bệnh nhân tăng lên",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/12/01/1-1606781557371.jpg
"Bỏ qua cơn đau bụng trên, người đàn ông lỡ giai đoạn vàng trị ung thư",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/30/20200502-daubungtungcon-1-1606749179436.jpg
"Việt Nam thiếu máy xạ trị ung thư, chạy gấp 5 công suất",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/12/01/viet-nam-thieu-may-xa-tri-ung-thu-chay-gap-5-cong-suat-1-1606780897117.jpg
Người đàn ông phát hiện ung thư gan từ một cơn đau lưng,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/12/01/nguoi-dan-ong-phat-hien-ung-thu-gan-tu-mot-con-dau-lung-1-1606780680708.jpg
"Có những triệu chứng này, ung thư dạ dày đã bước sang giai đoạn muộn",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/29/20200305101205089729-daubungcaptinhvmax-1800-x-1800-1606665759161.jpg
Cảnh giác với mầm mống ung thư nguy hiểm dễ bị chẩn đoán nhầm,https://icdn.dantri.com.vn/zoom/920_612/filters:quality(0)/2020/11/29/cothattamvi-1606638291714.jpg
"Người đàn ông 40 tuổi bị ung thư gan dù không hút thuốc, uống rượu",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/29/nguoi-dan-ong-40-tuoi-bi-ung-thu-gan-du-khong-hut-thuoc-uong-ruou-1-1606662028643.jpg
Người đàn ông ung thư phổi di căn não thoát liệt nhờ xạ trị,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/29/img-7258-re-1606613294705.jpg
Khó thở: Dấu hiệu chung của nhiều loại ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/12/01/kho-tho-dau-hieu-chung-cua-nhieu-loai-ung-thu-1-1606781129900.jpg
Tổng hợp được chất có khả năng tiêu diệt ung thư gấp 4 lần hóa trị,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/27/3-dimmunesystemtcellshealthshutterstock-7755838961068-x-601-1606485053953.jpg
Xạ trị giúp tăng cơ hội sống cho bệnh nhân ung thư,https://icdn.dantri.com.vn/zoom/920_612/filters:quality(0)/2020/11/28/xatri-11-1606522115598.jpg
Chỉ điểm thủ phạm gây nên 3 loại ung thư nguy hiểm hàng đầu ở phụ nữ,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/26/20191118102923896591-virus-hp-vmax-800-x-800-1-1606400286380.jpg
Khối u tử cung khổng lồ chiếm trọn ổ bụng bệnh nhân,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/26/khoi-u-1-1606388614602.jpg
Đi ngoài ra máu có phải đã mắc ung thư đường tiêu hóa?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/25/nongtrongnguoidicauramau-1606322523543.jpg
Những người có nguy cơ cao mắc ung thư đại trực tràng cần sớm tầm soát,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/25/viemduongruot-1606284814540.jpg
"Hành trình cảm xúc tại ""Đại học K"" của hoa khôi ung thư Thủy Tiên",https://icdn.dantri.com.vn/zoom/920_612/filters:quality(0)/2020/11/24/thumb-1606181500697.png
"Những thay đổi ở ""vòng 1"" cảnh báo ung thư dù không có khối u",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/24/dornosseiosmenstruacao-1606205597920.jpg
Phát hiện trường hợp ung thư hắc tố cổ tử cung hiếm gặp,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/02/27/ungthucotucung-1582814645423.jpg
Chăm sóc giảm nhẹ cải thiện chất lượng sống cho bệnh nhân ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/24/ung-thu-2-1606214171086.jpg
Nguyên nhân nào gây ra bệnh ung thư xương?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/24/ungthuxuong-1-1606229505147.png
"Dưỡng chất có nhiều trong cá là ""khắc tinh"" của ung thư",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/23/fatty-fish-1606141732711.jpg
Tiến sĩ y học người Nhật mang đến niềm hi vọng mới cho bệnh nhân ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/24/avt-1606186934573.png
37 tuổi đã mắc ung thư giai đoạn cuối vì sai lầm nhiều người phạm phải,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/23/133854-shutterstock-660259354-1606130518651.jpg
U xơ tuyến vú có tiến triển thành ung thư?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/08/26/ungthuvu-11-1598455519313.jpg
Điều trị ung thư đa mô thức mang lại kết quả tối ưu,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/ung-thu-phoi-1-1605528114295.jpg
Những dấu hiệu cảnh báo ung thư hậu môn,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/symptomsanalcancerwp-1606018029635.jpg
70% người bệnh phát hiện ung thư đại trực tràng ở giai đoạn muộn,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/23/ungthudaitructrang-11-1606122729379.jpg
Dấu hiệu ung thư đại trực tràng: Mệt mỏi kéo dài dù đã nghỉ ngơi,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/23/dau-hieu-ung-thu-dai-truc-trang-met-moi-keo-dai-du-da-nghi-ngoi-1-1606144483467.jpg
Nguy cơ ung thư phổi khi sống chung nhà với người nghiện thuốc lá,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/528391-smoking-1497684877-1606057929306.jpg
Triệu chứng nào cảnh báo sớm ung thư dạ dày?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/02/07/ungthudaday-1-1581047575946.jpg
Tại sao không hút thuốc vẫn mắc ung thư phổi,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/tai-sao-khong-hut-thuoc-van-mac-ung-thu-phodocx-1606018975303.jpeg
Những thắc mắc phổ biến của chị em về tầm soát ung thư cổ tử cung,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/21/127-1605972748712.jpg
Dấu ấn ung thư có giúp chẩn đoán xác định ung thư?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/httpss-3-uswest-2-amazonawscommavenuserphotoscancerconnectovariancancergd-z-0-co-mmk-o-jnjahjem-8-ad-b-cp-az-we-du-okg-76-khae-1-aw-1606018681321.jpeg
Cách ăn súp lơ đúng cách để có lợi nhất cho sức khỏe,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/20/r-8-nk-24-bmc-mg-sib-5-z-wkk-qk-w-97080-1605881798031.jpg
Khả năng chống ung thư tuyệt vời của các loại đậu quen thuộc,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/20/varietyofbeans-1605885246881.jpg
Ung thư dạ dày hiện được điều trị bằng cách nào?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/10/16/nhung-dieu-can-biet-ve-ung-thu-da-daydocx-1602855797479.jpeg
Nguyên tắc điều trị ung thư tiền liệt tuyến,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/07/18/ungthutuyentienliet-09-1595044348567.jpg
Tiến triển của bệnh ung thư cổ tử cung có nhanh không?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2019/12/02/ungthucotucung-13-1575271661364.jpg
Năm triệu chứng của ung thư phổi rất nhiều người không biết,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/21/nam-trieu-chung-cua-ung-thu-phoi-rat-nhieu-nguoi-khong-biet-2-1605928856612.jpg
"Phát hiện ""thần dược"" diệt ung thư trong 1 giờ từ… ong mật",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/phat-hien-than-duoc-diet-ung-thu-trong-1-gio-tu-ong-mat-1-1606014588977.jpg
Dừng ngay những thói quen làm lây lan mầm mống ung thư dạ dày,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/20/img-20170607150315492-a-03-f-7-1605881794205.jpg
Những điều bạn cần biết để không lo lắng về ung thư thực quản,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/20/nhung-dieu-ban-can-biet-de-khong-lo-lang-ve-ung-thu-thuc-quandocx-1605866253056.jpeg
Diễn tiến và triệu chứng của ung thư buồng trứng,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/21/2-1605931571513.jpg
"Nước chanh chữa ung thư, mạnh hơn hoá trị 10.000 lần?",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/20/nuoc-chanh-chua-ung-thu-manh-hon-hoa-tri-10000-lan-1-1605882511734.jpg
HPV gây ra ung thư gì?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/21/1-1605931374069.jpg
"Lý do ung thư vú khó phát hiện sớm ở ""cánh mày râu""",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/20/20200803072451104462-male-breast-cancermax-800-x-800-1605831664702.jpg
Phát hiện mắc ung thư giai đoạn cuối sau thời gian dài bị táo bón,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/18/20200403091523745820-poopingnotregularmax-1800-x-1800-1605713857877.jpg
Phân biệt u vú lành tính và ung thư vú,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/19/1-1605798373021.jpg
"Mãng cầu, nho giúp phòng chống ung thư hiệu quả",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/19/1-1605799148364.jpg
Vai trò của xét nghiệm gen trong tầm soát nguy cơ ung thư di truyền,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/19/2-1605798980000.png
Nguyên nhân dẫn đến 90% trường hợp ung thư dương vật thường bị bỏ qua,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/19/shutterstock-722360641-1605764028828.jpg
Ung thư đường tiêu hóa rình rập chỉ vì lười... đánh răng,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/18/10-viemnuou-1507703322685-1605691548977.jpg
"Thấy bụng to lên, người đàn ông phát hiện khối u ung thư tái phát lần 3",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/18/a-8207-e-6-c-0303-fd-5-da-412-1605708204737.jpg
Tiên lượng bệnh ung thư tiền liệt tuyến,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/03/03/cac-giai-doan-cua-ung-thu-tuyen-tien-lietdocx-1583246329646.jpeg
Bệnh thường gặp của tuyến giáp và ung thư tuyến giáp,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/21/1-1605932832526.jpg
Các bệnh ung thư thường gặp ở lứa tuổi thanh thiếu niên,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/21/1-1605932631082.jpg
Sự thực về quan hệ bằng miệng gây ung thư vòm họng,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/03/09/lay-nhiem-hpv-va-nguy-co-ung-thu-co-tu-cungdocx-1583763834782.jpeg
Mắc ung thư vú có cần phải cắt buồng trứng?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/02/27/tuoi-la-yeu-to-nguy-co-cao-cua-ung-thu-vudocx-1582816216078.jpeg
"""Vắc xin ung thư"" cho kết quả thử nghiệm đầy hứa hẹn",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/17/9661398-a-1605631674916.jpg
"Đo vòng eo, quý ông biết được nguy cơ loại ung thư ""sát thủ""",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/do-vong-eo-quy-ong-biet-duoc-nguy-co-loai-ung-thu-sat-thu-1-1606014451193.jpg
"Chủ quan khi đi đại tiện, một người đàn ông suýt mất mạng",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/chu-quan-khi-di-dai-tien-mot-nguoi-dan-ong-suyt-mat-mang-1-1606014314304.jpg
Các phương pháp điều trị nội khoa ung thư tiền liệt tuyến,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/17/cac-phuong-phap-dieu-tri-noi-khoa-ung-thu-tien-liet-tuyendocx-1605583975638.png
Triệu chứng tưởng vô hại này có thể là dấu hiệu của bệnh lý chết người,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/17/2011041207445204112093-1605582885162.jpg
Giảm đau cho bệnh nhân ung thư gan giai đoạn cuối,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/22/2-1606014103672.jpeg
Ăn nhiều bí đỏ giúp phòng ngừa hiệu quả ung thư và bệnh tim mạch,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/20200516075746243987-bido-1-max-800-x-800-1605534940834.jpg
Chứng khô miệng ở bệnh nhân ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/kho-ming-1605537949553.jpg
Thiếp lập Trung tâm thực hành lâm sàng đạt chuẩn điều trị ung thư phổi,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/07/10/ungthuphoi-11-1594373637086.jpg
Người trong gia đình mắc ung thư có khiến nguy cơ của bạn tăng lên?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/ungthu-1578116870592-1605513433090.jpg
Ung thư vòm họng thai kỳ thách thức lớn trong điều trị,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/y-te-1605515828016.jpeg
Người phụ nữ có lại bộ ngực mới sau 15 năm chịu cảnh “bên còn bên mất”,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/hinh-phau-thuat-3-1605517303265.jpg
"Không có triệu chứng, khối u ung thư được phát hiện khi có kích thước khủng",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/umo-19-1605490006521.jpg
Có được dùng thuốc giảm đau khi uống thuốc điều trị nội tiết?,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/08/26/ungthuvu-11-1598455519313.jpg
Có triệu chứng này đề phòng bệnh ung thư vú,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/10/16/xetnghiemtamsoatungthuvu-1602832522475.jpg
Dấu hiệu nhận biết nốt ruồi ung thư so với nốt ruồi thường,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/dau-hieu-nhan-biet-not-ruoi-ung-thu-so-voi-not-ruoi-thuong-1-1605539265785.jpg
Bỏ sót triệu chứng ung thư vì tưởng nhầm là rối loạn tiền mãn kinh,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/14/20200425-lamthenaodebietdaubungduoicophaimangthai-1605368563395.jpg
"Cảm thấy sưng, vướng ở cổ họng có phải là dấu hiệu ung thư?",https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/14/unnamed-1605332841201.jpg
Lý do gia đình 3 người cùng mắc ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/16/ly-do-gia-dinh-3-nguoi-cung-mac-ung-thu-1-1605539073613.jpg
Ăn ớt giảm nguy cơ tử vong do tim mạch hoặc ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/15/anot-1605457406651.jpg
Đặt stent mật tụy ngược dòng cứu bệnh nhân ung thư tắc nghẽn đường mật,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/15/mattuynguocdong-1605457659149.jpg
3 lý do chính khiến ngày càng nhiều người trẻ mắc ung thư,https://icdn.dantri.com.vn/zoom/480_320/filters:quality(0)/2020/11/13/partying-alcohol-abuse-beachside-1605278816275.jpg
