Image Caption,Image URL
Người bị bệnh tim mạch nên kiêng ăn gì?,https://cdn.tuoitre.vn/zoom/392_245/2020/11/25/ghep-tim-final-no-logomp4snapshot0609-16062801933401802935775-crop-1606280199877249522863.jpg
"Cha mẹ mắc bệnh tim mạch, con cái cũng sẽ bị?",https://cdn.tuoitre.vn/zoom/170_106/2020/11/17/ca-mo-tim-mach-1605571940773920504136-crop-16055719536511079000277.jpg
Bệnh mạn tính thường gặp ở người cao tuổi và cách phòng ngừa,https://cdn.tuoitre.vn/zoom/170_106/2020/11/4/photo-1-1604490438382272963875-crop-16044913969701302132102.jpg
Nâng niu sức khỏe tim mạch: Cách giản dị để vui sống thanh xuân không tuổi,https://cdn.tuoitre.vn/zoom/170_106/2020/10/15/photo-1-16027490959411642484218-crop-16029060462101589612467.jpg
Đau mỏi vai gáy 'cảnh báo' ta điều gì?,https://cdn.tuoitre.vn/zoom/170_106/2020/10/8/dau-vai-gay-160217081096813541515-crop-1602171583436781445454.jpg
Bất thường ở vú có quá đáng sợ?,https://cdn.tuoitre.vn/zoom/170_106/2020/9/10/sieuam-4read-only-1599674750081935841721-crop-159969626810050078390.jpg
"Qua 14 ngày chưa có kết quả xét nghiệm COVID-19, phải làm sao?",https://cdn.tuoitre.vn/zoom/212_132/2020/8/7/1173424863921946884280287694441147495387522n-1596799238345285034925-crop-15968002479621788975614.jpg
"Làm gì để tăng cường miễn dịch, phòng chống COVID-19?",https://cdn.tuoitre.vn/zoom/212_132/2020/8/2/img3919-15963574100751501666865-crop-15963574197111800421238.jpg
Những bệnh nền nào dễ khiến bệnh nhân COVID-19 gặp nguy hiểm?,https://cdn.tuoitre.vn/zoom/212_132/2020/7/31/photo-1-15962027488011893854594-crop-15962027744431272374192.jpg
"COVID-19 trở lại, bảo vệ mình và mọi người ra sao?",https://cdn.tuoitre.vn/zoom/212_132/2020/7/28/1160516053218495456572126204783792238954809n-15959320274021787780424-crop-1595932034633558552995.jpg
"Mặt sưng phù, đầy mụn mủ sau khi đắp mặt nạ mua trên mạng",https://cdn.tuoitre.vn/zoom/212_132/2020/5/19/hinh-truoc-dieu-tri-19-5-15898765527631465055617-crop-1589876657608633050630.jpg
Tự ý ngưng điều trị viêm gan B mạn: suy gan tối cấp có thể tử vong,https://cdn.tuoitre.vn/zoom/212_132/2020/5/4/3220172200-800x1200-1588586705399815039047-crop-15885867163381751016135.jpg
Mùa dịch ở nhà khám bệnh,https://cdn.tuoitre.vn/zoom/212_132/2020/4/10/anh-1-ngay-9-4-2read-only-1586483420996148780412-crop-15864834940943456804.jpg
"Ai phải cách ly y tế tại nhà, cách ly ra sao?",https://cdn.tuoitre.vn/zoom/212_132/2020/2/26/cach-ly-10-15826955459122119163959-crop-1583202001926952786550.jpg
Đeo khẩu trang y tế thường xuyên có ảnh hưởng da?,https://cdn.tuoitre.vn/zoom/212_132/2020/2/7/khau-trang-trung-tam-thuong-mai-1-1581076359970336139124-crop-15825086126641776057623.jpg
Tết đi chơi xa sao để không bị say tàu xe?,https://cdn.tuoitre.vn/zoom/212_132/2020/1/16/say-xe-15791514146052133478282-crop-1579151466655134327218.jpg
Bệnh lý rối loạn chuyển hóa axit hiếm gặp của bé sơ sinh,https://cdn.tuoitre.vn/zoom/212_132/2020/1/15/lay-mau-got-chan-1read-only-15790582618841338094391-crop-1579058367134361537011.jpg
Chuẩn bị gì khi sinh con những ngày tết?,https://cdn.tuoitre.vn/zoom/212_132/2020/1/6/anh-6-1-2020-1578278586978817046880-crop-15782786189671269979160.jpg
"Trẻ tự nhiên nổi hạch tai, phát ban đỏ toàn thân bệnh gì?",https://cdn.tuoitre.vn/zoom/212_132/2020/1/13/rubella-15788831004091709146487-crop-15788833177941876217842.jpg
Trời lạnh nên tăng hay giảm dinh dưỡng cho trẻ?,https://cdn.tuoitre.vn/zoom/212_132/2020/1/2/suateddy11-5read-only-1577970699527945706986-crop-15779707318871156440985.jpg
Bệnh viện Đà Nẵng có phòng mổ Hybrid hiện đại bậc nhất Việt Nam,https://cdn.tuoitre.vn/zoom/212_132/2019/12/7/1575697236669-1575698967771728540640-crop-15756990494791190970733.jpg
"Trời trở lạnh, người lớn, trẻ nhỏ làm gì đề phòng bệnh hô hấp?",https://cdn.tuoitre.vn/zoom/212_132/2019/10/3/713329534268344013700398288327316866596864n-15700713021121299959920-crop-15755073342371609808533.jpg
Bệnh viện Quốc Tế City khai trương phòng khám nhi ngoài giờ,https://cdn.tuoitre.vn/zoom/212_132/2019/11/16/photo-1-1573872688579373061645-crop-1573872890508941927012.jpg
Vinmec được vinh danh là 'Bệnh viện tiến bộ nhất',https://cdn.tuoitre.vn/zoom/212_132/2019/9/16/a1giai-bv-tien-bo-1568625149428711185813-crop-1568625391317229777238.jpg
Những biến chứng nguy hiểm khi trồng răng thất bại,https://cdn.tuoitre.vn/zoom/212_132/2019/9/12/westcoast-implant-2-3-15682571455561334656933-crop-15682579733121575881408.jpg
Bị hẹp thực quản vì uống nhầm hóa chất... 4 tháng trước,https://cdn.tuoitre.vn/zoom/212_132/2019/8/27/hinh-anh-chup-x-quang-thuc-quan-1566873667445381024613-15668737245391705751310-crop-1566873823585370922654.png
Vinmec điều trị tim mạch theo mô hình chuyên môn chuẩn Mỹ,https://cdn.tuoitre.vn/zoom/212_132/2019/7/23/mo-tim-1563875741155950582918-crop-15638758611331570806897.jpg
Nhân viên bệnh viện hiến máu cứu bệnh nhân,https://cdn.tuoitre.vn/zoom/212_132/2019/7/5/4ed47d37d612324c6b03-1562295995196733361884-crop-156229600823334044355.jpg
Bị bạn dùng mũi kiếm của cá kiếm đâm thấu ngực,https://cdn.tuoitre.vn/zoom/212_132/2019/4/12/long-nguc-15550539782581762500704-crop-1555053989297842203322.jpg
Coi chừng mù mắt vì cườm nước,https://cdn.tuoitre.vn/zoom/212_132/2019/3/25/cuom-nuoc-15534819015991352699166-crop-15534819528801906685092.jpg
Phẫu thuật nhiều khối u khổng lồ cho cho 'người gấu',https://cdn.tuoitre.vn/zoom/212_132/2019/3/12/nguoi-gau-1552364703613337403712-crop-15523647301321236778127.jpg
Phẫu thuật lấy khối u 25 kg từ bụng nam thanh niên,https://cdn.tuoitre.vn/zoom/212_132/2019/3/6/benh-vien-108-1-15518443974802065393199-1551845565701129979529-crop-1551845591262710310744.png
"365 ngày của một năm, ta đã làm gì vậy?",https://cdn.tuoitre.vn/zoom/212_132/2019/2/19/5212378423246005511581051101227737793691648n-15505742109991059641233-crop-15505742201711037272653.jpg
Tránh hiểu sai về căn bệnh khổ sở 'nhất nhì' mùa lễ tết,https://cdn.tuoitre.vn/zoom/212_132/2019/1/22/2-15481410046191456671300-crop-15481411154341252122728.jpg
Con đỉa 5cm sống 3 tháng trong mũi người đàn ông,https://cdn.tuoitre.vn/zoom/212_132/2019/1/7/condia-15468431212681141446478-crop-15468431905231434410355.jpg
Nữ bệnh nhân có hàng trăm khối u xơ khắp người,https://cdn.tuoitre.vn/zoom/212_132/2018/12/30/blur-1546180156882198815241-154618018212860960979-crop-15461801928061258960236.png
Sử dụng công nghệ gen tầm soát bệnh.,https://cdn.tuoitre.vn/zoom/212_132/2018/11/7/gstsbs-dang-van-phuoc-chu-tich-hoi-tim-mach-viet-nam-phat-bieu-tai-buoi-le-1541572525143777795096-crop-15415726826651464544551.jpg
Làm gì khi trẻ có dấu hiệu ngộ độc thực phẩm?,https://cdn.tuoitre.vn/zoom/212_132/2018/10/30/photo1540889976540-15408899765411464385466.png
Nữ ca sĩ bị vỡ túi độn ngực khi đi máy bay,https://cdn.tuoitre.vn/zoom/212_132/2018/10/29/photo1540815276387-15408152763871119417649.jpg
Nữ bệnh nhân có khối u ngực to vượt mặt,https://cdn.tuoitre.vn/zoom/212_132/2018/10/17/photo1539778809739-1539778809739634285350.jpeg
Chống viêm da tiếp xúc ánh sáng thế nào?,https://cdn.tuoitre.vn/zoom/212_132/2018/10/15/photo1539601037826-15396010378261932489262.jpg
Làm sao tránh loãng xương?,https://cdn.tuoitre.vn/zoom/212_132/2018/10/5/photo1538708360623-15387083606231587326272.jpg
Người sau phẫu thuật nên ăn uống thế nào?,https://cdn.tuoitre.vn/zoom/212_132/2018/9/4/photo1536030782938-1536030782938888933468.jpg
"Răng trẻ mọc lệch, có nên dùng hàm nhựa điều chỉnh?",https://cdn.tuoitre.vn/zoom/212_132/2018/8/23/photo1534988807796-1534988807796721257142.jpg
"Đau nhói một điểm lưng, nguy không?",https://cdn.tuoitre.vn/zoom/212_132/2018/8/23/photo1534988186471-15349881864711986898576.jpg
Hạn chế biến chứng viêm tinh hoàn,https://cdn.tuoitre.vn/zoom/212_132/2018/8/23/photo1534989230242-1534989230242116090815.jpg
'Ốc biển lạ' khiến cô giáo chết sau 4 giờ là ốc bùn răng cưa,https://cdn.tuoitre.vn/zoom/212_132/2018/7/12/photo1531373444152-15313734441541369997123.jpg
